,hyperlink,source_page_id
133,https://www.alustir.com/english/cast-welding-1899/,0
134,#cite_ref-11,0
135,https://www.alustir.com/english/cast-welding/,0
136,/wiki/New_Jersey,0
137,/wiki/ISBN_(identifier),0
138,/wiki/Special:BookSources/0-13-113029-3,0
139,/wiki/Cleveland,0
140,/wiki/ISBN_(identifier),0
141,/wiki/Special:BookSources/99949-25-82-2,0
142,/w/index.php?title=List_of_welding_processes&action=edit&section=7,0
143,/wiki/Welding,0
144,/wiki/List_of_welding_codes,0
145,/wiki/Symbols_and_conventions_used_in_welding_documentation,0
146,/wiki/Cladding_(metalworking),0
147,/w/index.php?title=List_of_welding_processes&action=edit&section=8,0
148,http://www.keytometals.com/page.aspx?ID=CheckArticle&site=kts&NM=75,0
149,http://www.keytometals.com/page.aspx?ID=CheckArticle&site=kts&NM=76,0
150,/wiki/Template:Metalworking_navbox,0
151,/wiki/Template_talk:Metalworking_navbox,0
152,https://en.wikipedia.org/w/index.php?title=Template:Metalworking_navbox&action=edit,0
153,/wiki/Metalworking,0
154,/wiki/Template:Metalworking_navbox/weld,0
155,/wiki/Template_talk:Metalworking_navbox/weld,0
156,https://en.wikipedia.org/w/index.php?title=Template:Metalworking_navbox/weld&action=edit,0
157,/wiki/Category:Welding,0
158,/wiki/Arc_welding,0
159,/wiki/Atomic_hydrogen_welding,0
160,/wiki/Electrogas_welding,0
161,/wiki/Flash_welding,0
162,/wiki/Flux-cored_arc_welding,0
163,/wiki/Gas_metal_arc_welding,0
164,/wiki/Gas_tungsten_arc_welding,0
165,/wiki/Plasma_arc_welding,0
166,/wiki/Shielded_metal_arc_welding,0
167,/wiki/Submerged_arc_welding,0
168,,0
169,/wiki/Electric_resistance_welding,0
170,/wiki/Electron-beam_welding,0
171,/wiki/Electroslag_welding,0
172,/wiki/Exothermic_welding,0
173,/wiki/Forge_welding,0
174,/wiki/Friction_welding,0
175,/wiki/Friction_stir_welding,0
176,/wiki/Friction_stud_welding,0
177,/wiki/Laser_beam_welding,0
178,/wiki/Laser-hybrid_welding,0
179,/wiki/Magnetic_pulse_welding,0
180,/wiki/Oxy-fuel_welding_and_cutting,0
181,/wiki/Spot_welding,0
182,/wiki/Ultrasonic_welding,0
183,/wiki/Upset_welding,0
184,/wiki/Electrode,0
185,/wiki/Filler_metal,0
186,/wiki/Welding_helmet,0
187,/wiki/Welding_power_supply,0
188,/wiki/Robot_welding,0
189,/wiki/Shielding_gas,0
190,/wiki/Heat-affected_zone,0
191,/wiki/Photokeratitis,0
192,/wiki/Residual_stress,0
193,/wiki/Weldability,0
194,/wiki/Casting,0
195,/wiki/Metal_fabrication,0
196,/wiki/Forming_processes,0
197,/wiki/Jewellery,0
198,/wiki/Machining,0
199,/wiki/Metallurgy,0
200,/wiki/Metalsmith,0
201,/wiki/Outline_of_metalworking,0
202,/wiki/Welding,0
